name_vacancy,min_vacancy_compensation,max_vacancy_compensation,currency_vacancy_compensation,link_vacancy,vacancy_employer,vacancy_address
Руководитель направления отчетности,,,,https://krasnoyarsk.hh.ru/vacancy/75943817?from=vacancy_search_list&query=Data+science,"Компания «СПОРТМАСТЕР», Офис","Москва, Аэропорт"
Руководитель проекта (отчетность),,,,https://krasnoyarsk.hh.ru/vacancy/73253303?from=vacancy_search_list&query=Data+science,"Компания «СПОРТМАСТЕР», Офис","Москва, Аэропорт"
Директор по рискам,,,,https://krasnoyarsk.hh.ru/vacancy/76727485?from=vacancy_search_list&query=Data+science,IDF Eurasia,Москва
Ассистент отдела продаж,30000.0,50000.0,руб.,https://krasnoyarsk.hh.ru/vacancy/76287337?from=vacancy_search_list&query=Data+science,SkillFactory,Москва
Системный архитектор,,,,https://krasnoyarsk.hh.ru/vacancy/74135634?from=vacancy_search_list&query=Data+science,Синимекс,"Москва, Новокузнецкая и еще 2 "
Владелец продукта (технологии управления ассортиментом),,,,https://krasnoyarsk.hh.ru/vacancy/75523095?from=vacancy_search_list&query=Data+science,"МАГНИТ, Розничная сеть",Москва
New business manager/ Менеджер по развитию нового бизнеса (digital- реклама),,,,https://krasnoyarsk.hh.ru/vacancy/76650923?from=vacancy_search_list&query=Data+science,ПАО «МТС» ,"Москва, Технопарк"
Project manager (производство курсов),,,,https://krasnoyarsk.hh.ru/vacancy/76613003?from=vacancy_search_list&query=Data+science,SkillFactory,Москва
Middle Java разработчик (Платформа принятия решений),,,,https://krasnoyarsk.hh.ru/vacancy/72652889?from=vacancy_search_list&query=Data+science,"ОТП Банк, АО (OTP bank)","Москва, Войковская"
Главный юрисконсульт,,,,https://krasnoyarsk.hh.ru/vacancy/76232806?from=vacancy_search_list&query=Data+science,IDF Eurasia,Москва
Графический дизайнер в цифровой продукт,,,,https://krasnoyarsk.hh.ru/vacancy/76163872?from=vacancy_search_list&query=Data+science,Сбер. Data Science,Москва
Контент- менеджер в группу по работе с внутренними ИТ-сообществами,,,,https://krasnoyarsk.hh.ru/vacancy/76105066?from=vacancy_search_list&query=Data+science,Райффайзен Банк,Москва
Java developer,,,,https://krasnoyarsk.hh.ru/vacancy/76111920?from=vacancy_search_list&query=Data+science, Альфа-Банк,Москва
Senior Backend Developer,,,,https://krasnoyarsk.hh.ru/vacancy/76108199?from=vacancy_search_list&query=Data+science,ООО JSA Group,Москва
Java developer,,,,https://krasnoyarsk.hh.ru/vacancy/76086296?from=vacancy_search_list&query=Data+science, Альфа-Банк,Москва
Руководитель клиентского сервиса (Hybe.io),,,,https://krasnoyarsk.hh.ru/vacancy/76023617?from=vacancy_search_list&query=Data+science,ООО Гибрид,Москва
Руководитель направления директ-маркетинга,,,,https://krasnoyarsk.hh.ru/vacancy/75989258?from=vacancy_search_list&query=Data+science,IDF Eurasia,Москва
Начальник отдела экспортной аналитики,,,,https://krasnoyarsk.hh.ru/vacancy/75955245?from=vacancy_search_list&query=Data+science,Правительство Москвы,"Москва, Китай-город"
"Заведующий кафедрой ""Системное программирование""",,,,https://krasnoyarsk.hh.ru/vacancy/53918926?from=vacancy_search_list&query=Data+science,МТУСИ,Москва
Руководитель отдела аккаунтинга,,,,https://krasnoyarsk.hh.ru/vacancy/75920822?from=vacancy_search_list&query=Data+science,SkillFactory,Москва
"Разработчик C#, Поиск",,,,https://krasnoyarsk.hh.ru/vacancy/72111302?from=vacancy_search_list&query=Data+science,Ozon Информационные технологии,Москва
Администратор LMS,,,,https://krasnoyarsk.hh.ru/vacancy/75904734?from=vacancy_search_list&query=Data+science,SkillFactory,Москва
Руководитель отдела продаж (B2C),,,,https://krasnoyarsk.hh.ru/vacancy/75858769?from=vacancy_search_list&query=Data+science,SkillFactory,Москва
"Доцент кафедры ""Интеллектуальные системы в управлении и автоматизации""",70000.0,,руб.,https://krasnoyarsk.hh.ru/vacancy/72008062?from=vacancy_search_list&query=Data+science,МТУСИ,"Москва, Авиамоторная"
PHP-разработчик (myTracker),,,,https://krasnoyarsk.hh.ru/vacancy/75781124?from=vacancy_search_list&query=Data+science,"VK, ВКонтакте",Москва
Лид редакторов,,,,https://krasnoyarsk.hh.ru/vacancy/75786699?from=vacancy_search_list&query=Data+science,SkillFactory,Москва
Методический редактор,,,,https://krasnoyarsk.hh.ru/vacancy/75789661?from=vacancy_search_list&query=Data+science,SkillFactory,Москва
SMM-менеджер,,,,https://krasnoyarsk.hh.ru/vacancy/76085457?from=vacancy_search_list&query=Data+science,IDF Eurasia,Москва
