name_vacancy,min_vacancy_compensation,max_vacancy_compensation,currency_vacancy_compensation,link_vacancy,vacancy_employer,vacancy_address
Senior / Lead Data scientist,,,,https://krasnoyarsk.hh.ru/vacancy/76655978?from=vacancy_search_list&query=Data+science,ПартКом,Москва
Senior ML Engineer,,,,https://krasnoyarsk.hh.ru/vacancy/73984561?from=vacancy_search_list&query=Data+science,Домклик,Москва
Преподаватель “Программирование на Python”,,,,https://krasnoyarsk.hh.ru/vacancy/75827655?from=vacancy_search_list&query=Data+science,Mathshub,Москва
Python-разработчик в ML,,,,https://krasnoyarsk.hh.ru/vacancy/76717976?from=vacancy_search_list&query=Data+science,Нетология,Москва
Data Engineer в команду «Сеть Продаж»,,,,https://krasnoyarsk.hh.ru/vacancy/70417491?from=vacancy_search_list&query=Data+science,Сбер. Data Science,Москва
Senior/Middle Python разработчик,,,,https://krasnoyarsk.hh.ru/vacancy/74351176?from=vacancy_search_list&query=Data+science,"Лента, федеральная розничная сеть, IT ",Москва
Data Analyst,4000.0,,USD,https://krasnoyarsk.hh.ru/vacancy/76081597?from=vacancy_search_list&query=Data+science,JuneHomes,Москва
Data Engineer в МТС Маркетолог (Big Data),,,,https://krasnoyarsk.hh.ru/vacancy/76550394?from=vacancy_search_list&query=Data+science,"ПАО «МТС», IT","Москва, Технопарк"
Data Science Manager,,,,https://krasnoyarsk.hh.ru/vacancy/76077520?from=vacancy_search_list&query=Data+science,Норникель,Москва
Lead Data Scientist,,,,https://krasnoyarsk.hh.ru/vacancy/76403695?from=vacancy_search_list&query=Data+science,Сбер для экспертов,Москва
Владелец продукта (продукты Data Science),,,,https://krasnoyarsk.hh.ru/vacancy/76416469?from=vacancy_search_list&query=Data+science,Сибур,Москва
Data Insight Analytics Expert,,,,https://krasnoyarsk.hh.ru/vacancy/76376213?from=vacancy_search_list&query=Data+science,ООО Мултон Партнерс,Москва
Директор направления в Отдел скоринга,,,,https://krasnoyarsk.hh.ru/vacancy/75612539?from=vacancy_search_list&query=Data+science,Банк Открытие,Москва
Senior Data Scientist,,350000.0,руб.,https://krasnoyarsk.hh.ru/vacancy/73387970?from=vacancy_search_list&query=Data+science,Райффайзен Банк,"Москва, Технопарк"
Credit risk analyst,,,,https://krasnoyarsk.hh.ru/vacancy/75705029?from=vacancy_search_list&query=Data+science,Finstar Financial Group,Москва
Data Analyst,,,,https://krasnoyarsk.hh.ru/vacancy/76385534?from=vacancy_search_list&query=Data+science,Manpower,Москва
"Разработчик Go, Анализ текста (DS/NLP)",,,,https://krasnoyarsk.hh.ru/vacancy/75886390?from=vacancy_search_list&query=Data+science,WILDBERRIES,Москва
Data Scientist,,,,https://krasnoyarsk.hh.ru/vacancy/76047561?from=vacancy_search_list&query=Data+science,ЛАНИТ. Департамент корпоративных систем,"Москва, Алексеевская и еще 2 "
Senior Data Scientist в направление рекламной платформы RnD (Big Data),,,,https://krasnoyarsk.hh.ru/vacancy/74317205?from=vacancy_search_list&query=Data+science,"ПАО «МТС», IT","Москва, Технопарк"
BI Automatisation Manager,200000.0,300000.0,руб.,https://krasnoyarsk.hh.ru/vacancy/76615664?from=vacancy_search_list&query=Data+science,ООО Мунэксперт,"Москва, Улица 1905 года"
Team lead Data scientist,,,,https://krasnoyarsk.hh.ru/vacancy/73245446?from=vacancy_search_list&query=Data+science,"ПАО МегаФон, IT","Москва, Маяковская и еще 2 "
Data Scientist (Senior),,,,https://krasnoyarsk.hh.ru/vacancy/72821352?from=vacancy_search_list&query=Data+science,Газпромбанк,Москва
Антифрод аналитик (Риск-аналитик),,,,https://krasnoyarsk.hh.ru/vacancy/76387349?from=vacancy_search_list&query=Data+science,IDF Eurasia,Москва
Senior/Lead Data Engineer,,450000.0,руб.,https://krasnoyarsk.hh.ru/vacancy/76277631?from=vacancy_search_list&query=Data+science,Wanted,Москва
Data Engineer (команда ленты и рекомендаций),,,,https://krasnoyarsk.hh.ru/vacancy/76349576?from=vacancy_search_list&query=Data+science,"VK, ВКонтакте",Москва
"Data Scientist, Поиск и Каталог",,,,https://krasnoyarsk.hh.ru/vacancy/67411146?from=vacancy_search_list&query=Data+science,Ozon Информационные технологии,"Москва, Деловой центр и еще 2 "
Lead Data Scientist в ДРПА,,,,https://krasnoyarsk.hh.ru/vacancy/76010578?from=vacancy_search_list&query=Data+science,Сбер для экспертов,Москва
Data Analyst в Департамент маркетинга,,,,https://krasnoyarsk.hh.ru/vacancy/76026903?from=vacancy_search_list&query=Data+science,Сбер для экспертов,Москва
Data Аналитик,,,,https://krasnoyarsk.hh.ru/vacancy/75844000?from=vacancy_search_list&query=Data+science,Сбер. Data Science,Москва
Market Research Manager,,,,https://krasnoyarsk.hh.ru/vacancy/76522951?from=vacancy_search_list&query=Data+science,АстраЗенека,Москва
Руководитель дирекции клиентской аналитики и математического моделирования,,,,https://krasnoyarsk.hh.ru/vacancy/73901496?from=vacancy_search_list&query=Data+science,ПАО БАНК УРАЛСИБ,Москва
Senior Data Engineer/Data Engineer,,,,https://krasnoyarsk.hh.ru/vacancy/76094555?from=vacancy_search_list&query=Data+science,Криптонит,"Москва, Павелецкая и еще 1 "
Data scientist (Middle+\Senior),,,,https://krasnoyarsk.hh.ru/vacancy/75780642?from=vacancy_search_list&query=Data+science,"ПАО МегаФон, IT","Москва, Маяковская и еще 2 "
Chief Data Scientist / DS Team Lead,,,,https://krasnoyarsk.hh.ru/vacancy/75959822?from=vacancy_search_list&query=Data+science,Selecty,Москва
Data scientist (Гео и графы),,,,https://krasnoyarsk.hh.ru/vacancy/75909316?from=vacancy_search_list&query=Data+science,Сбер. Data Science,Москва
Data Engineering Team Lead,,,,https://krasnoyarsk.hh.ru/vacancy/76094897?from=vacancy_search_list&query=Data+science,Криптонит,"Москва, Павелецкая и еще 1 "
Data Scientist (Computer Vision),,,,https://krasnoyarsk.hh.ru/vacancy/73401856?from=vacancy_search_list&query=Data+science,red_mad_robot,Москва
Senior Data Scientist/Data Analyst,,,,https://krasnoyarsk.hh.ru/vacancy/75855923?from=vacancy_search_list&query=Data+science,Сбер. Data Science,Москва
Маркетинговый аналитик,,,,https://krasnoyarsk.hh.ru/vacancy/76236406?from=vacancy_search_list&query=Data+science,SkillFactory,Москва
Data scientist / Python программист по машинному обучению (senior/middle),,,,https://krasnoyarsk.hh.ru/vacancy/73692343?from=vacancy_search_list&query=Data+science,"ГРЧЦ, ФГУП","Москва, Павелецкая"
Аналитик Разработчик,,,,https://krasnoyarsk.hh.ru/vacancy/75997133?from=vacancy_search_list&query=Data+science,ЕВРАЗ. ИТ-специалисты,Москва
Data Engineer (Мy Tracker),,,,https://krasnoyarsk.hh.ru/vacancy/75987957?from=vacancy_search_list&query=Data+science,VK,Москва
ML инженер,,,,https://krasnoyarsk.hh.ru/vacancy/76668205?from=vacancy_search_list&query=Data+science,ООО JSA Group,Москва
Team Lead NLP Engineer,,,,https://krasnoyarsk.hh.ru/vacancy/76822349?from=vacancy_search_list&query=Data+science,Тинькофф,"Москва, Водный стадион"
Младший продюсер направления Аналитика,,,,https://krasnoyarsk.hh.ru/vacancy/76716093?from=vacancy_search_list&query=Data+science,Нетология,Москва
Руководитель практики по управлению данными,,,,https://krasnoyarsk.hh.ru/vacancy/72070910?from=vacancy_search_list&query=Data+science,Вкусно — и точка,"Москва, Добрынинская и еще 2 "
Продюсер образовательных курсов,80000.0,,руб.,https://krasnoyarsk.hh.ru/vacancy/75791659?from=vacancy_search_list&query=Data+science,ООО Отус,Москва
Middle+/Senior Python developer на продукт ONEtools (Big Data),,,,https://krasnoyarsk.hh.ru/vacancy/76649923?from=vacancy_search_list&query=Data+science,"ПАО «МТС», IT","Москва, Технопарк"
Программист Python (Middle+),,,,https://krasnoyarsk.hh.ru/vacancy/75983601?from=vacancy_search_list&query=Data+science,ООО Пиклема,"Москва, Каланчёвская и еще 2 "
Group Chief risk officer (Russia and CEE),,,,https://krasnoyarsk.hh.ru/vacancy/67265720?from=vacancy_search_list&query=Data+science,Мокка,Москва
NoCode разработчик,,,,https://krasnoyarsk.hh.ru/vacancy/76239096?from=vacancy_search_list&query=Data+science,SkillFactory,Москва
Системный/Бизнес Аналитик на проект BPM,250000.0,280000.0,руб.,https://krasnoyarsk.hh.ru/vacancy/76774639?from=vacancy_search_list&query=Data+science,ООО Датаномика,Москва
"Senior Consultant / Corporate Finance (Старший консультант, корпоративные финансы)",,,,https://krasnoyarsk.hh.ru/vacancy/75984153?from=vacancy_search_list&query=Data+science,ООО ОКС ЛАБС,Москва
Разработчик SQL/Data инженер,,,,https://krasnoyarsk.hh.ru/vacancy/73236467?from=vacancy_search_list&query=Data+science,"Ренессанс cтрахование, Группа",Москва
Разработчик в команду робототехники Маркета,,,,https://krasnoyarsk.hh.ru/vacancy/70366583?from=vacancy_search_list&query=Data+science,Яндекс,Москва
Tech Lead Machine Learning,,,,https://krasnoyarsk.hh.ru/vacancy/74418967?from=vacancy_search_list&query=Data+science,SUNLIGHT/САНЛАЙТ,"Москва, Мякинино и еще 3 "
Главный специалист анализа данных,,,,https://krasnoyarsk.hh.ru/vacancy/76008410?from=vacancy_search_list&query=Data+science,Банк СОЮЗ (АО),"Москва, Менделеевская и еще 1 "
Специалист по информационной безопасности на авторство курсов,,,,https://krasnoyarsk.hh.ru/vacancy/76502683?from=vacancy_search_list&query=Data+science,SkillFactory,Москва
Senior Data Scientist (удаленно),,,,https://krasnoyarsk.hh.ru/vacancy/71289566?from=vacancy_search_list&query=Data+science,ООО Вебинар Технологии,"Москва, ВДНХ"
Lead DevOps,,450000.0,руб.,https://krasnoyarsk.hh.ru/vacancy/76648796?from=vacancy_search_list&query=Data+science,Wanted,Москва
CI Engineer,5000.0,,USD,https://krasnoyarsk.hh.ru/vacancy/76770084?from=vacancy_search_list&query=Data+science,NetworkOptix,Москва
Software Sales Manager,,,,https://krasnoyarsk.hh.ru/vacancy/75977662?from=vacancy_search_list&query=Data+science,SWTecNN,Москва
Junior Data Engineer,,,,https://krasnoyarsk.hh.ru/vacancy/75751501?from=vacancy_search_list&query=Data+science,Сбер. Data Science,Москва
Senior Data Scientist,,,,https://krasnoyarsk.hh.ru/vacancy/76610825?from=vacancy_search_list&query=Data+science,Сбер. Data Science,Москва
Data Analyst,,,,https://krasnoyarsk.hh.ru/vacancy/74046414?from=vacancy_search_list&query=Data+science,Сбер. Data Science,"Москва, Кутузовская и еще 1 "
Product manager,,,,https://krasnoyarsk.hh.ru/vacancy/76857498?from=vacancy_search_list&query=Data+science,IDF Eurasia,Москва
Team Lead Java (to Yerevan),,,,https://krasnoyarsk.hh.ru/vacancy/76596618?from=vacancy_search_list&query=Data+science,BostonGene Technologies,Москва
Архитектор данных,,,,https://krasnoyarsk.hh.ru/vacancy/76694424?from=vacancy_search_list&query=Data+science,ООО АЛРОСА Информационные технологии,"Москва, Новокузнецкая и еще 2 "
Data Scientist (Центр валидации моделей сервисных блоков и экосистемы),,,,https://krasnoyarsk.hh.ru/vacancy/76729518?from=vacancy_search_list&query=Data+science,Сбер. Data Science,"Москва, Кутузовская и еще 1 "
DevRel / Tech PR специалист,,,,https://krasnoyarsk.hh.ru/vacancy/76451067?from=vacancy_search_list&query=Data+science,Сбер для экспертов,Москва
LX-дизайнер/старший методист (направление Аналитика),,,,https://krasnoyarsk.hh.ru/vacancy/76450566?from=vacancy_search_list&query=Data+science,SkillFactory,Москва
Head of Development,,,,https://krasnoyarsk.hh.ru/vacancy/76730549?from=vacancy_search_list&query=Data+science,ООО Звук,"Москва, Кутузовская и еще 3 "
Senior Go Developer,,,,https://krasnoyarsk.hh.ru/vacancy/76294333?from=vacancy_search_list&query=Data+science,the_covert,Москва
Data Analyst в блок Управление Благосостоянием,,,,https://krasnoyarsk.hh.ru/vacancy/76830337?from=vacancy_search_list&query=Data+science,Сбер. Data Science,Москва
Аналитик моделей рисков,,,,https://krasnoyarsk.hh.ru/vacancy/76662515?from=vacancy_search_list&query=Data+science,Тинькофф,"Москва, Водный стадион"
Консультант отдела координации работ по мобилизации доходов Аналитического управления,,,,https://krasnoyarsk.hh.ru/vacancy/54154243?from=vacancy_search_list&query=Data+science,Федеральная налоговая служба (ФНС России),"Москва, Кузнецкий мост и еще 1 "
DevOps инженер,,,,https://krasnoyarsk.hh.ru/vacancy/75996614?from=vacancy_search_list&query=Data+science,ООО Пиклема,"Москва, Каланчёвская и еще 2 "
Head of Personalization,,,,https://krasnoyarsk.hh.ru/vacancy/76491507?from=vacancy_search_list&query=Data+science,ООО Звук,"Москва, Кутузовская и еще 3 "
Руководитель группы визуализации данных,,,,https://krasnoyarsk.hh.ru/vacancy/75963939?from=vacancy_search_list&query=Data+science,Делимобиль,"Москва, Преображенская площадь и еще 1 "
Руководитель направления CRM,,,,https://krasnoyarsk.hh.ru/vacancy/76006598?from=vacancy_search_list&query=Data+science,Газпромбанк Мобайл (ООО НМК),Москва
Product Manager (Монетизация),,,,https://krasnoyarsk.hh.ru/vacancy/74074509?from=vacancy_search_list&query=Data+science,Нетология,Москва
Lead/Senior Data scientist,,,,https://krasnoyarsk.hh.ru/vacancy/76587872?from=vacancy_search_list&query=Data+science,Ингосстрах,"Москва, Белорусская"
Senior System Analyst (blockchain),150000.0,250000.0,руб.,https://krasnoyarsk.hh.ru/vacancy/76414970?from=vacancy_search_list&query=Data+science,the_covert,Москва
ML-инженер (middle),,,,https://krasnoyarsk.hh.ru/vacancy/75717365?from=vacancy_search_list&query=Data+science,Циан,"Москва, Преображенская площадь"
Аналитик рисков,,,,https://krasnoyarsk.hh.ru/vacancy/74104925?from=vacancy_search_list&query=Data+science,IDF Eurasia,Москва
Системный аналитик (разработка АБС для Филиала в Индии),,,,https://krasnoyarsk.hh.ru/vacancy/66541673?from=vacancy_search_list&query=Data+science,Сбер для экспертов,"Москва, Кутузовская и еще 1 "
Back-end Developer (Python/Golang),140000.0,200000.0,руб.,https://krasnoyarsk.hh.ru/vacancy/76078011?from=vacancy_search_list&query=Data+science,Brands Go Digital,Москва
Business Analyst (to Cyprus / Serbia),,,,https://krasnoyarsk.hh.ru/vacancy/76504015?from=vacancy_search_list&query=Data+science,ООО Перфект Арт,Москва
IT Лидер кластера (HR платформа),,,,https://krasnoyarsk.hh.ru/vacancy/76340010?from=vacancy_search_list&query=Data+science,Сбер. IT,Москва
Разработчик отчётности (Oracle APEX/SQL),,,,https://krasnoyarsk.hh.ru/vacancy/76164417?from=vacancy_search_list&query=Data+science,ООО РСХБ-Интех,"Москва, Теплый Стан"
Lead QA/SDET (python),,,,https://krasnoyarsk.hh.ru/vacancy/75949453?from=vacancy_search_list&query=Data+science,the_covert,Москва
Senior Java Backend,,450000.0,руб.,https://krasnoyarsk.hh.ru/vacancy/75665318?from=vacancy_search_list&query=Data+science,ООО ЕСН,Москва
Middle Linux System Administrator (релокация),,2000.0,USD,https://krasnoyarsk.hh.ru/vacancy/76155624?from=vacancy_search_list&query=Data+science,the_covert,Москва
